Prefix,Name,Price
A,"AB-DIGEST, Enfants",85
A,"ABILIFY 15 MG, Comprimé [P]",1200
A,"ABIRATERONE GT 250 MG, Comprimé",10411
A,"ABSTRAL 100 µG, Comprimé sublingual [P] [SS]",937
A,"ABSTRAL 200 µG, Comprimé sublingual [P] [SS]",937
A,"ABSTRAL 400 µG, Comprimé sublingual [P][SS]",937
A,"ACARD 50 MG, Comprimé pelliculé",79
A,"ACCUPRIL 20 MG, Comprimé enrobé sécable",70.1
A,"ACCUPRIL 5 MG, Comprimé sécable",37.5
A,"ACDigest, Gélule",59
A,"ACERUMEN, Flacon unidose",58
A,"ACETHIO 500 MG / 2 MG, Comprimé",37
A,"ACFOL 5 MG, Comprimé",26.2
A,"ACICLOVIR MYLAN 250 MG, Poudre pour solution injectable (IV)",628
A,"ACIDE ALENDRONIQUE GT 70 MG, Comprimé pelliculé",176
A,"ACIDE ALENDRONIQUE NORMON 70 MG, Comprimé",176
A,"ACIDE ZOLEDRONIQUE COOPER 4 MG, Lyophilisat et solvant et solvant pour perfusion IV",1356
A,"ACIDE ZOLEDRONIQUE MYLAN 4 MG / 5 ML, Solution à diluer pour perfusion",1356
A,"ACIDE ZOLEDRONIQUE PROMOPHARM 4 MG / 5 ML, Solution à diluer pour perfusion",1356
A,"ACIDE ZOLEDRONIQUE SP 4 MG / 5 ML, Solution à diluer pour perfusion",1255
A,"ACIGAM 100 MG, Comprimé sécable",28.9
A,"ACIGAM 200 MG, Comprimé sécable",36
A,"ACLASTA 5 MG / 100 ML, Solution pour perfusion",3041
A,"ACLAV 1 G / 125 MG, Sachet",99
A,"ACLAV 1 G / 125 MG, Sachet",115
A,"ACLAV 1 G / 125 MG, Sachet",132
A,"ACLAV 1 G / 125 MG, Sachet",187
A,"ACLAV 1 G / 200 MG ADULTE, Suspension injectable",33
A,"ACLAV 100 MG / 12,5 ML, Poudre pour suspension buvable",38.8
A,"ACLAV 100 MG / 12,5 ML, Poudre pour suspension buvable",66.1
A,"ACLAV 100 MG / 12,5 ML, Poudre pour suspension buvable",122.8
A,"ACLAV 2 G / 200 MG ADULTE, Suspension injectable",46
A,"ACLAV 500 MG / 50 MG, Poudre pour préparation injectable",20
A,"ACLAV 500 MG / 62,5 MG, Sachet",106.5
A,"ACLAV 500 MG / 62,5 MG, Sachet",121.5
A,"ACLAV 500 MG / 62.5 MG, Sachet",79.9
A,"ACNO 10 MG, Capsule molle",152
A,"ACNO 20 MG, Capsule molle",288
A,"ACNO 20 MG, Capsule molle",531
A,"ACNO 30 MG, Capsule molle",373
A,"ACOL 1000 MG, Comprimé pelliculé",18.3
A,"ACT HIB, Suspension injectable [V]",143
A,"ACTACEPT  5 MG, Comprimé pelliculé",250
A,"ACTACEPT 10 MG, Comprimé pelliculé",400
A,"ACTALEVURE, Gelule",39
A,"ACTEMRA 162 MG / 0.9 ML, Solution pour injection sous cutanée",6826
A,"ACTEMRA 200 MG / 10 ML, Solution à diluer pour perfusion",2848
A,"ACTEMRA 400 MG / 20 ML, Solution à diluer pour perfusion",5296
A,"ACTEMRA 80 MG / 4 ML, Solution à diluer pour perfusion",1279
A,"ACTI 5, Solution buvable (Retiré du marché)",63
A,"ACTICARBINE 70 MG, Comprimé dragéfié",46.9
A,"ACTIDIGEST, Comprimé",112
A,"ACTIPETIT, Comprimé",79.9
A,"ACTITRANS, Sirop",98
A,"ACTONEL 35 MG, Comprimé (Retiré du marché)",293
A,"ACTONEL 5 MG, Comprimé (Retiré du marché)",296
A,"ACTRAPID HM 100 UI / ML, Solution Injectable",186
A,"ACTRAPID HM PENFIL 100 UI / ML, Solution Injectable",350
A,"ACTYL B9 200 µG , Comprimé",60
A,"ACUCARB 150 MG / 15 ML, Solution pour perfusion",408
A,"ACUCARB 450 MG, Solution pour perfusion",906
A,"ACUILIX 12,5 MG / 20 MG, Comprimé",64.5
A,"ACULAR 0.5 %, Collyre",38.9
A,"ACUPAN 20 MG, Solution injectable",50.9
A,"ACUPAXIL 30 MG, Solution à diluer pour perfusion",430
A,"ADACEL-POLIO, Suspension injectable (IM) en seringue préremplie [V]",332
A,"ADALATE 10 MG, Capsule molle (Retiré du marché)",36
A,"ADALATE RETARD 20 MG, Comprimé pelliculé (Retiré du marché)",50.8
A,"ADALATE RETARD 20 MG, Comprimé pelliculé (Retiré du marché)",114
A,"ADANCOR 10 MG, Comprimé sécable",72.8
A,"ADANCOR 20 MG, Comprimé sécable",138.6
A,"ADDITIVA MAGNESIUM 300 MG, Sachets goût citron",89
A,"ADEPAL, Comprimé enrobé",13.9
A,"ADEPAL, Comprimé enrobé",33.3
A,"ADFIL, Émulsion",39.5
A,"ADO 1000 MG, Comprimé pelliculé",19.9
A,"ADO 1000 MG, Comprimé pelliculé",35
A,"ADO 1000 MG, Comprimé pelliculé",43.3
A,"ADO 500 MG, Comprimé pelliculé",17.5
A,"ADO 850 MG, Comprimé pelliculé",19
A,"ADO 850 MG, Comprimé pelliculé",34
A,"ADRENALINE 0.25 MG, Ampoule injectable",268
A,"ADRENALINE 0.50 MG, Ampoule injectable",284
A,"ADRENALINE 1 MG, Ampoule injectable",308
A,"ADRIBLASTINE 10 MG, Poudre pour préparation injectable",109.5
A,"ADRIBLASTINE RD 50 MG, Poudre pour préparation injectable",454
A,"ADRONAT 70 MG, Comprimé",176
A,"ADVAQUENIL 200 MG, Comprimé enrobé",43.4
A,"AERIUS  5 MG, Comprimé pelliculé",26.7
A,"AERIUS 5 MG, Comprimé pelliculé",51.7
A,"AERIUS 5 MG, Comprimé pelliculé",120.6
A,"AÉROMAX 100 µg, Suspension pour pulvérisation nasale",190
A,"AERRANE, Liquide pour inhalation [P]",809
A,"AERRANE, Liquide pour inhalation [P] (Retiré du marché)",362
A,"AFINITOR 5 MG, Comprimé",20304
A,"AFLOX 250 MG, Comprimé",33.6
A,"AFLOX 500 MG, Comprimé",55.1
A,"AFLOX 750 MG, Comprimé",76.6
A,"AFONGIS 150 MG, Gélule",18.2
A,"AFONGIS 150 MG, Gélule",55.1
A,"AFONGIS 150 MG, Gélule",92.5
A,"AGENOS , Comprimé effervescent",65
A,"AGIDERM 2 %, Crème",28
A,"AGIDERM 2 %, Pommade",25
A,"AGIFENE 2 %, Suspension buvable",22.5
A,"AGIFENE 5 %, Gel",38
A,"AGLIM 1 MG, Comprimé",19
A,"AGLIM 2 MG, Comprimé",36
A,"AGLIM 3 MG, Comprimé",51
A,"AGLIM 3 MG, Comprimé",90
A,"AGLIM 4 MG, Comprimé",62.9
A,"AGLIM 4 MG, Comprimé",110.7
A,"AGRASTAT 50 µG / ML, Solution pour perfusion",2042
A,"AGREL 75 MG, Comprimé pelliculé",189.8
A,"AGREL 75 MG, Comprimé pelliculé",316
A,"AGRETER 75 MG, Comprimé pelliculé",110
A,"AGRETER 75 MG, Comprimé pelliculé",198
A,"AGYRAX 25 MG, Comprimé",25
A,"AINARA, Gel vaginal hydratant muco-adhésif",97
A,"AINAT, Comprimé",79.5
A,"AIRATHON 4 MG, Comprimé (Retiré du marché)",190
A,"AIRCORT 250 µG, Suspension pour inhalation",83
A,"AIRFASTEC 10 MG, Comprimé à croquer",210
A,"AIRLIX 10 MG, Comprimé",45.5
A,"AIRLIX 10 MG, Comprimé",88.4
A,"AIRLIX 5 MG / 5 ML, Sirop",27.4
A,"AIRTAL 100 MG, Comprimé enrobé",54.2
A,"AKINDEX ADULTE, Sirop",31.5
A,"AKINDEX ENFANT, Sirop",19.4
A,"AL 110, Lait",75
A,"ALBUNORM 20 %, Solution pour perfusion",693
A,"ALBUNORM 20 %, Solution pour perfusion",1096
A,"ALCASTERIL, Antiseptique",69
A,"ALDACTAZINE 25 MG / 15 MG, Comprimé",39.3
A,"ALDACTONE 50 MG, Comprimé",56.8
A,"ALDACTONE 75 MG, Comprimé",103.8
A,"ALDOMET 500 MG, Comprimé enrobé",56.2
A,"ALDOPA 250 MG, Comprimé",35.5
A,"ALDURAZYME 100 U / ML, Solution pour perfusion",7547
A,"ALECENSA 150 MG, Gélules",44479
A,"ALEPSIA 200 MG, Comprimé [P]",47
A,"ALER-Z 10 MG, Comprimé pelliculé",23
A,"ALER-Z 10 MG, Comprimé pelliculé",42.7
A,"ALER-Z 10 MG, Comprimé pelliculé",82.6
A,"ALER-Z, Solution buvable",37
A,"ALERCHEK 1 MG / ML, Collyre",63.5
A,"ALFAMOX 1 G, Poudre pour suspension buvable en sachet",65
A,"ALFAMOX 125 MG / 5ML, Poudre pour suspension buvable",26.6
A,"ALFAMOX 250 MG / 5 ML, Poudre pour suspension buvable",39.2
A,"ALFAMOX 250 MG, Poudre pour suspension buvable en sachet",30.6
A,"ALFAMOX 500 MG / 5ML, Poudre pour suspension buvable",58.2
A,"ALFAMOX 500 MG, Poudre pour suspension buvable en sachet",45
A,"ALFAPROXINE 250 MG, Comprimé pelliculé",51.4
A,"ALFAPROXINE 500 MG, Comprimé pelliculé",158.9
A,"ALFAPROXINE 500 MG, Comprimé pelliculé",131.6
A,"ALFAPROXINE 500 MG, Comprimé pelliculé",74.8
A,"ALFAPROXINE 750 MG, Comprimé pelliculé",182.2
A,"ALFATIL 125 MG / 5 ML, Granules pour suspension buvable",46.6
A,"ALFATIL 250 MG / 5 ML, Granules pour Suspension buvable",74
A,"ALFATIL 500 MG, Comprimé dispersible",167.5
A,"ALFLOREX, Gelule",245
A,"ALGANTIL 2 %, Suspension buvable",22
A,"ALGANTIL 200 MG, Comprimé effervescent",14.9
A,"ALGANTIL 200 MG, Comprimé enrobé",19.7
A,"ALGANTIL 250 MG, Suppositoire",16.7
A,"ALGANTIL 5 %, Gel dermique",72.8
A,"ALGANTIL 5 %, Gel dermique",26.3
A,"ALGANTIL 5 %, Gel dermique",43
A,"ALGIK 500 MG / 50 MG, Comprimé",13.2
A,"ALGIK 500 MG / 50 MG, Poudre orale en sachet",21.8
A,"ALGIPAN, Baume",14.7
A,"ALGIXENE 250 MG, Gélule",47.9
A,"ALGIXENE 500 MG, Suppositoire",40.8
A,"ALGOFENE 20 MG / ML, Sirop",17
A,"ALGOFENE 200 MG, Comprimé pelliculé",23.5
A,"ALGOFENE 400 MG, Comprimé pelliculé",30
A,"ALGOTROPYL 200 MG, Suppositoire",9.8
A,"ALGOTROPYL 400 MG, Suppositoire",10.1
A,"ALIMTA 100 MG, Poudre pour préparation injectable",1586
A,"ALIMTA 500 MG, Solution pour perfusion",6197
A,"ALIVIAR 50 MG, Gélule [P]",27
A,"ALKERAN 2 MG, Comprimé",100.4
